Name,Students,Equipment,Area,Instructions,Variation
Newspaper Gold,Pairs,"1 newspaper bat, 1 balloon and 3-2 sheets of newspaper per pair",Large indoor space,"Students aim to strike the balloon to land on a piece of newspaper. The pieces of newspaper are scattered in front of the striker. Each piece of newspaper has a different point value (eg 1, 7, 3). The pitcher kneels down about 1 metre away from the striker and gently 'pops' (ie throws) the balloon up for the striker to hit. Strikers add points to their tally equal to the point value of the paper on which the balloon lands. Point targets (eg 100) can be set for individuals or pairs. The striker has 10 turns then partners swap roles.",". Vary the distance between markers
. Vary the size of the pieces of newspaper by folding them
. Remove a piece of paper once the balloon has landed on it. Continue until all pieces have been removed.
. Students uses a bat and a ball rather than newspaper bats and balloons."
Inventions,Pairs or groups of 3,"1 newspaper bat, 1 balloon, 1 tennis ball, 1 playground ball, 1 newspaper ball and various other balls per pair or group",Large indoor space,"Students are challenged to invent a series of activities to practice striking. Teacher prompts may be needed intermittently to spark an idea. Ask volunteer groups to demonstrate their striking activity for others to try or adapt.
Prompt 1: Experiment with each of the balls to discover which is easiest and hardest to hit when throws by a partner
Prompt 2: Invent an activity that uses a bat, balloon and a tennis ball.
Prompt 3: Try to stop or trap each of the balls thrown by a partner with the bat instead of striking the balls.
Prompt 4: Challenge the striker to move their front food in different directions when striking to see if it influences their striking.
Prompt 5: Try pitching the balls in different ways to see if it makes the ball more difficult to hit (eg high are pitch, bouncing pitch, low pitch, fast pitch etc.)",
Smash!,Pairs,"1 newspaper bat, 1 balloon and 2 marker cones per pair",Large indoor space,"Students aim to strike the balloon as far as possible. The striker assumes a striking position, using a marker cone as 'home plate. The pitcher kneels down about 1 metre away from the home plate and gently 'pops' (ie throws) the balloon up above the home plate to be hit by the striker. The striker has 5 turns then partners swap roles. Use the remaining marker cone to mark the length of the furthest hit in each of 5 hits.",. Students use a newspaper ball instead of a balloon
Danish Rounders,2 groups of 6-14,"1 bat, 4 marker cones or softball bases, 1 ball and 1 hoop per 2 groups",Large open space,"The activity is a variation of softball/baseball. 4 cones are placed in a diamond formation, approximately 15 metres apart. Fielders are scattered, some standing near the bases. A pitcher stands in a loop 5-7 metres from the striker and throws a ball underarm so that it bounces once in front of home base. The striker hits at the ball and, whether successful or not, runs towards first base and onwards if appropriate. The fielders intercept the ball and return it to the pitcher. When the pitcher receives the ball in the hoop, they call ""Stop"". If a striker is running between bases at the time, they are out. Any number of strikers can be on the same base at a time and strikers may pass each other when running between bases. Groups score 1 run each time a striker runs around the bases and returns to home base. When the striking group has scored 20 runs or missed the ball 10 times, groups change.",". The pitcher throws the ball underarm on the full.
. Vary the distance the ball is to be pitched.
. Vary the size of the ball."
Pepper,Groups of 4-6,1 newspaper bat and 1 newspaper ball per group,Large open space,1 student aims to strike the ball to fielding students who are positioned in a semi-circle formation 3-5 metres away. A fielder gently pitches the ball to the striker. Fielders aim to catch the ball on the full and pitch again to the striker. Each striker has 10 attempts then students rotate positions. Fielders score 1 point for each successful catch.,". Fielders pitch the ball more firmly to the striker.
. Students use a bat (eg cricket, softball, rounders) and ball.
. Strikers hit the ball to each fielder in turn.
. Students use a nerf ball."
Shoot out,Groups of 4-6,"1 newspaper bat, newspaper balls, tennis balls or nerf balls and 7 marker cones per group",Large open space,"A striker stands 3-5 metres away from the fielding students who stand in a semi-circle formation. Marker cones are placed between each fielder to act as goals with point values determined by the group (eg 2 middle cones = 5 points, 2 off-centre cones = 7 points, 2 outer cones = 3 points). A fielder gently pitches the ball to the striker who hits it back aiming at a marker cone to score a goal. Each striker gets 10 attempts then rotates with a fielder. Fielders aim to catch the ball on the full. Strikers score points based on the point value of the goals.",". Vary the type of ball.
. Vary the type of bat.
. Vary the distance to and between the markers."
Continuous softball,2 groups of 6-14,"3 bats, 1 ball, volleyball or playground ball and 2 marker cones per 2 groups",Large open space,"2 cones are placed 10 metres apart. Fielders scatter in the activity area with 1 fielder as the pitcher. The strikers line up 2-3 metres away from the first cone. The first 3 strikers hold a bat to speed up the activity. The pitcher stands at right angles to the line made by the 2 cones and underarm throws the ball so that it bounces once before reaching the striker. The striker hits the ball and runs carrying the bat to the cone 10 metres away and returns to the striking line. The fielders field the ball, return it to the pitcher who throws the ball underarm immediately over the striking line to a catcher. If the striker misses the ball or has not returned to home base they are out and the next student in line bats. The activity continues until 1 group reaches 20 runs or the striking group has missed the ball 10 times. A group scores 1 run each time a striker runs to the cone and back.",". The pitcher throws the ball underarm on the full.
. Vary the distance between the cones.
. Vary the type of ball and bat used."
Balloon Bash,Pairs,"Marker pens, 1 newspaper bat and 1 balloon per pair",Large indoor space,"Students draw shapes (eg triangle, circle, square, star) on an inflated balloon, which they attempt to hit when striking. The striker assumes a striking position, their partner kneels at the side about 1 metre away and gentle 'pops' (ie throws) the balloon up to be hit. During the first turn at striking, the striker aims to hit 1 shape only. Each student has 10 turns then partners swap roles. ",". Each student has 10 turns aiming to hit a different shape each time.
. The pitcher puts a gentle spin or rotation to force the striker to focus hard on the balloon.
. The pitcher throws the balloon from 2-3 metres."
Cricket softball,Groups of 6-8,"1 playground ball, 2 bats, 2 skittles and 2 bases per 2 groups",Large open space,"The object is for strikers to score runs by hitting the ball and running to the opposite base before the skittles can be knocked down the fielders. There is a striker at each base. A skittle is placed 50 centimetres behind the bases. The fielding group has a pitcher on both bases and the rest of the fielders are scattered randomly. There are no boundaries. The strikers assume a position with the bat touching the base. The striker is out if the skittle is knocked down. The striker attempts to protect the skittle by hitting the ball. If the striker hits the ball they quickly exchange place with the striker on the other base. The fielders try to recover the ball and knock down the skittles. If the fielders do not succeed in knocking down the skittles before the strikers have exchanged places, a run is scored.",". Students are allowed 2 bats or hits, after which the next striker has a turn."
Schlag Ball,2 groups of 7-10,"1 soft medium sized ball, 1 hoop and 2 marker cones per 2 groups",Large open space,"Set up the 2 marker cones, 20 metres apart with the hoop positioned halfway between them. 1 group strikes and runs, the other groups bowls and fields. A bowler ina  hoop bounce passes the ball to the first striker, who hits it with their hand and runs past the hoop, around the marker cone and returns to the hitting cone. The striker continues running until hit below the waist by the ball. 1 run is scored each time the striker completes a circuit. When all the strikers have had a turn, the group is out. Fielders are not permitted to run while holding the ball but are encouraged to position themselves in order to receive a pass to hit the striker with the ball. ",
Landing Zone,Groups of 5-6,"1 paddle or tennis racquet, a net (or line) and 1 tennis ball per group",One third of a nteball court or half a tennis course (length ways),"A student throws a ball over a net to the striker. The ball is then hit back over the net for the other students to catch. If the ball is hit on the full into the 'landing zone', the striker has another hit. If the ball is not hit on the full into the landing zone, the next student in line has a turn and the former striker moves to the landing zone ready to catch the next ball. Students rotate positions.",
Belt the Bomber!,Pairs or groups of 3,1 newspaper bat and 4 sheets of scrap paper perpair or group,,"Students construct 4 paper aeroplanes. Students, in turn, have 10 attempts to strike the aeroplane thrown from approximately 3-5 metres. Students rotate positions.",". Students use different types or paper aeroplanes. . The varied flight pattern will challenge them to focus their eyes on the object to be struck.
. Students keep score on how many bombers are struck.
. Vary the distance the plane is thrown according to student ability."
Try This!,Pairs or groups of 3,1 newspaper bat and 5 newspaper balls per group,Large indoor space,"Challenge students to see what happens when they try to strike an object using an incorrect technique. A student has 5 attempts to strike a newspaper ball thrown underarm by their partner from approximately 3-5 metres. Encourage students to explore what happens when they try to strike the ball:
With 1 eye closed or both eyes closed
While keeping their feet stationary
Without a back swing or follow through
While standing front-on to the pitcher
Using various hand positions on the bat
For each activity students contrast the incorrect technique with the correct technique. Class discussions could occur on the best technique.
",
Target Strikes,Groups of 3,"1 newspaper bat, 5 newspaper balls and 1 hoop per group",Open space with rebound wall,"The aim is to strike a ball through a target hoop. 1 student strikes and another pitches. The remaining student holds a hoop and stands within 5-7 metres of the striker. The pitcher underarm throws a ball to the striker. The position of the hoop changes after every strike but it always faces the striker. Strikers accumulate points each time the ball is struck through the hoop. After 5 turns at striking, the students rotate positions.",". Instead of holding the hoop so it 'faces' the striker, hold the hoop so it is parallell to the ground.
. Challenge students to lob the ball into the hoop."
