Name,Students,Equipment,Area,Instructions,Variation
Catch Tag,Whole Class,"A soft foam ball per student, 1 colour band or bib and 1 bean bag per tagger.",Large open space,"A designated number of taggers have a colour band and a bean bag. Other students spread out in the area and run around, each with a ball. Taggers aim an underarm throw at student's legs. If hit, the tagged students throw and catch to themselves a number of times (throws must be above the ahead) depending on what colour the tagger wears (eg red = 4, blue = 5 throws, green = 6, throws etc.) When throws are completed, the student is free to run again.",". Change the value of the colour band
. Increase the size of the area
. Students have a different type of ball, with varying numbers allocated to them. When tagged, the student throws their ball according to that number (eg. a football = 4 throws, a tennis ball = 3 throws etc.)"
See Saw,Pairs,Any size or shape ball per pair.,Large open space,"With both knees bent and soles of their feet touching the ground. 1 student sits up, the other lies down with a ball above their head in outstretched hands. The student with the ball sits up and passes and overhead throw to the sitting student who catches the ball and rolls back into the lying position. Students repeat the actions.",". Students count the number of catches in 30 seconds.
. Vary the ball size."
Catches Count,Groups of 3,4 marker cones and 1 ball per group.,Large open space,"Each student stands at a marker, leaving 1 marker free. The student with the ball throws to either of the other students then runs to the free marker cone. Increase the pace as skills improve.",". Vary the type of movement (eg. skip, hop, jump, lead etc.) to the free marker cone.
. Count consecutive catches.
. Add 1 point for each catch and deduct 1 point for a dropped ball
. Vary the distance between marker cones.
. Vary the type and size of the ball
. Give each marker a value and students keep score.
"
Call a Name,Groups of 5-6,1 ball (size depends on ability) per group.,Large open space,"Students stand behind a line with 1 student, the leader, out in front, approximately 2 metres from the line. The leader tosses the ball straight up and calls the name of one of the other students. If that student can catch the ball on the full, they become the new leader.",". Allow the ball to bounce once.
. Students stand in a circle with their backs to the middle. The leader throws the ball up in the middle of the circle.
. Students may be assigned a fruit, colour, animal, to be called.
. Students are numbered and either the number is called or a simple mathematical problem is given and the student whose number is the answer, responds."
Roll and Stop,Pairs,1 medium playground ball per pair.,Large open space,"Students kneel opposite each other and roll the ball with their hands toward their partners who stops the ball with their hands (fingers pointing down, palms towards the ball). They roll the ball back and forth.",". A third student stands between 2 students who roll the ball through the third student's straddled legs (ie under the bridge).
. Instead of a third person, students roll the ball through markers.
. Students bounce the ball instead of roll."
Kick and Catch,Pairs,1 bean bag per pair.,Large open space,Students place the bean bag on either foot and kick it into the air to catch. Alternative kicking foot and catching hand should also be used.,". Students kick the bean bag to a partner
. Students simultaneously kick to each other
. A bean bag can be flicked from the heel of the foot to a partner (see diagram).
. Students kick and catch sitting down or lying down.
. Students invent their own ways to kick the bean bag to a partner."
You Name it,Pairs or small groups,1 ball per pair or group.,Large open space with rebound wall,"A student throws the ball at the wall and straddle jumps the ball as it rebounds to bounce on the floor. The next student catches it and repeats the process. Each time a successful straddle jump is completed, students spell out a letter of the school name, famous person or sport group. Students continue until the word is spelt out.",. Student 1 throws the ball at the wall for student 2 to jump and student 3 to catch
Step Back,Pairs,1 ball (size depends on ability) per pair.,Large open space,"Pairs start 2 metres apart. Students throw the ball at waist height to each other. When successfully caught, both students take a step backwards and when unsuccessful both take a step forwards.",". Students use an overhand, lob, bounce or chest pass.
. After success, students progress to a smaller ball."
Spot The Mark,Pairs,3 bean bags or 3 balls with markings on them such as an 'X' or 'O' (use a marking pen or tape) per pair.,Large open space,"A student holds 3 bean bags or balls with different markings which are hidden from their partner. Using an underarm lob, the student throws a bean bag/ball to the partner who identifies and calls out the marking before catching it.",. Different coloured bean bags or ball may be used for beginner catchers to identify the colour only
Call 'n Catch,Pairs,1 ball (size depends on ability) per pair.,Large open space,"1 student stands with their back to their partner who is 2-3 metres away with the ball. The partner calls ""left"", the throws to the left of the student who quickly turns around to their left to catch it. The partner may call ""left"", ""right"", ""high"", ""low"". Partners swap roles. ",". The thrower bounce passes the ball to the catcher.
. The thrower lob passes the ball to the catcher."
Shrink and Grow,Pairs,1 ball (size depends on ability) per pair.,Large open space,"Pairs stand 3 metres apart and underarm throw the ball to each other. The first time the ball is dropped, the students kneel on a knee. If the ball is dropped a second time, they kneel on both knees. If the ball is dropped a third time, the students crouch. if the ball is dropped a fourth time, they sit. If still standing after 10 throws, the students move back a step each.",". This can be played in reverse (is students start sitting or lying and when the ball is caught, they progressively rise).
. Students use various passes (bounce, overarm, lob)."
Catching Tabloid,Whole class,"Netballs, soccer balls, Kanga cricket balls and wicket-keeper gloves, Aussie Rules balls, Rugby balls, tee-balls and basketball/softball gloves.",Large open space,"Set up 6 activity stations and divide the students into 6 groups. At each station students need to be in pairs 3-4 metres apart. Students stay at each station for a designated period of time.
Station 1: Netball - catch a chest pass
Station 2: Cricket - in wicket-keeper gloves, receive a ball
Station 3: Baseball/softball - catch the ball in a glove trapping it with the other hand
Station 4: Soccer - goal keeper catch a lobbed ball (above the head)
Station 5: Australian Rules - catch a lobbed ball
Station 6: Rugby - receive a side or lateral pass whilst jogging",
