Name,Students,Equipment,Area,Instructions,Variation
Pass the Guard,Groups of 3-11,1 ball and 8 marker cones per group,Large open space,"2 cones are placed 5-7 metres apart to mark a restraining line. Position another restraining line of similar size 10-15 metres from the first. Use the remaining 4 cones to create 2 goals about 2 metres wide and an equal distance from each restraining line. 1 student becomes a guard and stands in the middle of the activity area guarding both goals and aiming to prevent any kicked ball from passing through either goal. Other members of the group position themselves behind the restraining lines in equal numbers and kick the ball through either goal. If the ball is intercepted, the guard returns the ball to the opposite restraining line. Each student takes turns guarding the goals for a set number of kicks (eg 20). The guard starts with 20 points and loses 1 point for each goal scored during their turn.",". Students alternate their kicking foot
. Vary the goal widths and/or point value for each goal
. Vary the distance between the goals and restraining lines"
Kick Golf,9 groups of 3-4,"1 ball per student, 18 marker cones and 9 hoops",Large open space,"Each group is allocated 2 cones and 1 hoop. The groups are numbered from 1-9. Each group sets up a 'hole' by placing a cone (the pin) in a hoop (the hole) to act as the target and the remaining cone 40-60 metres away to act as a tee-off area. Group 2 sets up their hole near group 1, group 3 sets up their hole near group 2 and so on until a 9-hole kicking golf course is set up. Students play a round of 9-hole kicking gold aiming to complete the course in the lowest possible score. Groups move from hole to hole in the sequence. Initially each group moves to the hole set up by the group with a number 1 higher than theirs. Each kick adds 1 to a student's score for the round. To reduce the set up time, a teacher may set up the 9-hole course prior to the arrival of the students.",". Students use score cards
. Establish handicaps for students"
"Goal, Goal, Goal!","Pairs
",1 ball and 7 marker cones per pair,Large open space,"Place marker cones to create 3 sets of goals, spaced 4-5 metres apart. The width of each goal should vary, with the widest goal closest to the kicker and the narrowest goal furthest from the kicker. Place the last cone 2-3 metres behind the most distant goal. This is the goal post. Students stand at least 5 metres away from the widest goal and aim to kick the ball through each goal to hit the goal post. The ball is fielded and returned by a partner. Each student kicks the ball a set number of times, then swaps with their partner. Score 2 points for the widest goal, 4 points for the next goal, 6 points for the narrowest goal and 8 points for hitting the goal post.",". Students alternate their kicking foot
. Vary the goal widths
. Vary the distance between the kicker and the goals"
Bull's Eye!,"Pairs
","1 ball, 1 hoop and 1 marker cone per pair",Large open space,1 student places the hoop on the ground 5-25 metres away from the cone. The other student places the ball near the cone and kicks it to the rest in the hoop. The partner stands near the the hoop and returns the ball. The activity continues so that each student completes several sets of 10 kicks. Hoop placement may be varied for each set of 10 kicks. Each kicker starts the activity with 100 points and loses 1 point if the ball does not come to rest in the hoop.,". Students alternate their kicking foot
. Use 2 or 3 overlapping hoops to create a larger clover-leaf shaped goal
. Alter the rebound angle of the ball to increase the difficulty of the activity"
Rebound Challenge,"Pairs
","1 ball, 1 hoop and 1 marker cone per pair",Open space with rebound wall,1 student places a hoop at least 10 metres away from a rebound wall and a cone 10-15 metres away from the same wall. The aim of the activity is to kick the ball from the cone so that it rebounds off the wall and comes to the rest in the hoop. 1 student acts as the kicker and has 10 attempts. The partner stands near the hoop and returns the ball until it is their turn. Continue the activity until each student has completed several sets of 10 kicks. The hoop and cone placement may be varied for each set of 10 kicks. Each kicker starts the activity with 100 points and loses 1 point if the ball does not come to rest in the hoop.,". Students alternate their kicking foot
. Use 3 or 4 overlapping hoops to create a larger clover-leaf shaped goal"
Move Back!,"Pairs
",1 ball and 2 marker cones per pair,Large open space,"Place the marker cones 2 metres apart to form a 'goal'. Students stand an equal distance from either side of the goal. They aim to kick the ball through the goal to their partner. A goal entitles the kicker to move back 1 step. After a missed goal, the kicker moves forward 1 step. Pairs score a point each time a goal is kicked. The activity continues with students aiming to increase the distance between each other to reach a distance set by the teacher.",". Students alternate their kicking foot
. Vary the goal width"
Kick Away,Groups of 4,1 ball per group,Large open space,"3 students stand 10 metres apart forming a triangle. The fourth student stands in the middle of the triangle. The students kick the ball to each other while the student in the middle attempts to intercept the ball. If successful, the student changes places with the student who kicked the ball. Students rotate positions after 7-10 successive kicks.",". Students alternate their kicking foot
. Vary the distance between students
. Students move out of the triangle formation "
King Ball,2 groups of 4-8,"1 foam, nerf, gator or playground ball per 2 students. 1 large ball, large balloon or cardboard box and 4 marker cones per 2 groups.",Large open space,"Set the marker cones to create 2 restraining lines, 15-20 metres apart. The 2 groups line up at the opposite ends. The large ball, balloon or box (the 'king ball'), is placed in the centre of the area. On a signal, students kick their ball aiming to knock the icing ball to the opposite side and over the restraining line of the other group. Balls stranded in the activity area can be retrieved by designated students during a 5-second pause in play. Groups score a goal each time the king ball is knocked past the opposition's restraining line.",". Students alternate their kicking foot
. Use more than 1 king ball
. Vary the distance between the restraining lines"
Try This Kick,"Pairs or groups of 3
",1 playground ball per pair or group,Large open space,"Students are challenged to see what happens when they try to kick using incorrect techniques. Students, in turn, have 5 attempts to kick a ball to their partner. Encourage students to explore what happens when they try to kick the ball:
. with one eye closed or both eyes closed.
. with no run-up
. when stepping past or well behind the ball
. with the toes
. without a back swing or follow through of the kicking leg
. while keeping their arms at their side during the kick
. while keeping their kicking leg straight during the kick
Students follow up each activity by contrasting the incorrect technique with the correct technique. Class dicussions could occur on the best technique.",
"Box, Ball",Groups of 3-4,"1 foam, nerf, gator or playground ball per 2 students and 1 cardboard box per group",Open space with rebound wall,"The box is placed 5 metres from the wall. The aim of the activity is to kick the ball to hit the box so that the box is moved and hits the wall. The students stand 7-10 metres from the wall and takes turns kicking the ball. Each kick is taken from the same place. Various challenges can be set for students (eg how few kicks it takes the group to move the box to the wall). Students can set up a scoring system and accumulate points; 1 point for hitting the box, 3 points for hitting the box into the wall.",". Students alternate their kicking foot
. Use more than 1 box, each with different point values
. Vary the distance to be kicked"
