Name,Students,Equipment,Area,Instructions,Variation
Wave Jumping,Groups of 4-5,1 long rope per group,Large open space,"2 students turn the rope. In turn, other students jump while they chant:
On the beach, the waves go higher, higher, higher.
The rope is turned higher with each jump until one of the rope jumpers makes a mistake.",". Use 2 ropes
. Adapt the activity to other skipping games or chants"
Sack Relay,Groups of 4,1 sack and 2 marker cones per group,Grassed surface open space,"The two marker cones are set 10 metres apart. Standing inside the sack, each student takes a turn to jump to the cone and back to their group before passing the sack to the next student.",". Vary the distance to the marker
. Relay race between groups"
Leap Frog,Pairs of similar size,Nil,Grassed surface open space,"Starting with students kneeling in a tucked position, partners take turns to leap frog over each other. Students being leapt over can raise their position by placing their hands on their legs above the knees. Combine pairs so that a student may leap over 3 others consecutively. ",
Ladder Game,Groups of 7,Nil,Large open space,"Students sit on the ground side by side in lines about 1 metre apart with legs outstretched in front of them. A student moves down the line jumping carefully, with feet together, over the other student's legs. At the end of the line, the student runs back to the start of the line and jumps back to their place.",
Jumping Square,Whole class,Chalk,Large open space,"Mark a 2-metric square on the ground. Students stand evenly spaced on the 4 sides of the square. 2 opposite sides of the square are named '1', the other two sides '2'. A student calls ""One"" and all the students on these 2 lines jump across to the opposite line without touching each other. The student calls ""Two"" and the other lines jump across without touching. When the student calls ""Three"", all sides jump to the opposite side without touching.",
Sergeant Jumps,Groups of 3,Wall and chalk,Large open space,"Students stand side-on and next to a wall with the chalk in the hand closest to the wall. They perform a jump for height and at the peak of the jump make a chalk mark on the wall, each time trying to beat to previous best mark.",". Measure the difference between the height of each student's standing reach with one hand and their sergeant jump mark to show how high they have jumped.
. Total the distance that each student in the group jumped, and challenge other groups to better this distance."
Elastics,Groups of 3-4,A 3 metre length of elastic with ends tied together per group,Large open space,"2 students stand 2 metres apart within the elastic circle stretched around their legs. One of the other students jumps in and out of the elastic circle set at various heights (ankles, knees, hips and underarms) depending on their ability.",". Students land with their legs either side of the elastic
. Students make up a shape while jumping over the elastic
. Students perform turns when jumping
. Students teach each other routines"
On and Off,Individuals,Climbing frame,Outdoor equipment or indoor ropes and bars,"Students complete the following activities:
. Jump on to the equipment and hang by hands only
. Jump on to the equipment, hang by hands, then use feet and legs for support
. Jump on to equipment, hang by hands and move along or use feet and legs on the equipment for assistance
. Jump off equipment when hanging by hands only, to hold a 'motorbike landing' for 3 seconds
. Jump off equipment at the back of a swing from hands, to hold a 'motorbike landing'
. Jump off equipment from arms and legs support",
Circle Jump Relay,Groups of 4,Chalk,Hard surface open space,"Mark 5 chalk circles 1 metre apart per group. Students start in a line facing the circles. Student 1 jumps from circle to circle using a double foot take-off. After jumping out of the fifth circle, they run back to the start to tag the next student. Each student has a turn.",. Use as a relay
Cane Relay,Groups of 4,1 cane and 2 marker cones per group,Large open space,"Students stand in a line behind a marker cone. The first student runs with the cane to touch the second marker cone and returns to run down the side of their group holding the cane low to the ground. As the student passes, each group member jumps into the air so that the cane passes under their feet. After reaching the end of the line, the runner returns the cane to the head of the line for the next student.",. Use for a relay or tabloid activity
Water Jumps,Whole class,Nil,Swimming pool,"In a waist-deep water:
. Students dip their shoulders under the water, then forcefully jump up throwing their arms in the air to try to splash the roof (indoors) or to make rain (outdoors).
. Students form a circle with 1 student in the centre of the circle. Students around the circle synchronise a series of 10 vertical jumps while the student in the centre coordinates vertical jumps to occur in the opposite direction (ie jumps up when the group is going down).
. Students form a line of 5. Assign each student a number (1, 2, 3, 4, 5). All students submerge at the same time and try to time their vertical jump to occur in sequence. Student 1 takes off 1 second after submerging, student 2, 2 seconds after and so on.
. Students form a circle and try to create a ""Mexican Wave' by exciting a vertical jump immediately after the student directly to their left jumps.",
Jockeys Up,Whole class,Nil,Large open space,"Students form an inner and outer circle with partners opposite each other. The students in the inner circle are 'horses', those in the outer circle are the 'jockeys'. On command students carry out the following movements:
. ""Over the hedge"" - the horse squats down while the jockey jumps over the partner (leap frogs) and moves back to their original position.
. ""Under the bridge"" - jockey moves to the front of the horse and crawls through the horse's legs.
. ""Long way to town"" - the jockey jumps clockwise around the circle, back to the horse.
. ""Short way to town"" - the jockey jumps anti-clockwise around the circle, back to the horse.
. ""Trade your horse"" - all jockeys move 1 place clockwise to own a new horse.
",Combne commands
High Fives,Pairs,Nil,Large open space,"Students complete the following activities:
. Students face each other and jump to slap both hands above their heads ( high 10's)
. Students stand shoulder-to-shoulder and jump to give a 'high 5' with 1 hand above their heads
. Students stand back-to-back about 1 metre apart and slap their hands low on the backswing before they jump ('low 10s')
. Students stand side-on, facing opposite directions and swing back to slap their partner's hand low before they jump ('low 5s')",". Pairs may repeat these actions as they progress along a line
. Combine some of the above to form sequences
. Play 'high 5s' or 'high 10 tiggy'. Select 4 students to be taggers. When tagged, a student stands still with their hand(s) in the air. To be released a free student gives student a 'high 5' or 'high 10'."
Head to Hand Jumps,Pairs,1 chair or bench per pair,Large open space,"Student 1 stands on a chair, holds their hands high out in front and just above head height. From a standing position, student 2 vertically jumps to touch their forehead to student 1's hands. If successful, they repeat from a crouch position. Good jumps may require students to stand on their toes so that their hands are raised as high as possible.",
