Name,Students,Equipment,Area,Instructions,Variation
Simon Says,Groups of 4 or more,"1 basketball, playground ball or netball per student",Hard surface open space,"A student is selected as a leader. The leader stands in front of their group and directs the students to follow 'Simon Says' to bounce a ball in a particular way (eg. bounce high, low, while turning, while sitting etc.) Students only follow the directions of the leader if the leader first says the words ""Simon Says."" Students do not drop out of the activity if a mistake is made. Rotate leaders regularly.",. Vary the ball size
Rob The Bank,Groups of 3-5,1 hoop per group and 1 medium sized ball per student,Hard surface open space,"Place hoops at random in the activity area. Groups are assigned to a hoop (bank) and place their ball in their bank. On a signal, students run to another group's bank, pick up a ball, bounce it 3 times outside the hoop, and return to their bank carrying or bouncing the ball. Students cannot protect the balls in their bank. The activity ends with a signal from the teacher at which time students count the number of balls in their bank and possession. Repeat the activity several times.",". Groups line up at their hoop. 1 student runs to collect, bounce and return with a ball.
. Upon return, another student goes to collect a ball."
Zig-Zag Bounce,2 groups of 8-20,"1 medium sized ball and 1 hoop per 2 students, 4 marker cones and 2 ectra hoops per group",Hard open surface,"Hoops are set out in 2 lines with 7-10 metres between the lines and 2-3 metres between the hoops in each line. 4 cones are placed 2-3 metres away from the hoops to designate an outsider perimeter. Group 1 students each stand in a hoop. All the balls are placed in a hoop (or 2 may be needed) at an end of the line of hoops. On a signal, the first student picks up a ball and runs bouncing it to the hoop in the opposite line. The first student returns to their hoop to retrieve another ball and repeats the process. At the same time, the second student picks up the ball which was placed in their hoop and runs bouncing it to the next hoop in the line opposite. Group 1 moves all of the balls from hoop to hoop in a zig-zag pattern until all balls are in the last hoop (or hoops). While group 1 is moving the balls, group 2 lines up in single file next to the marker cone opposite the hoop into which all the balls are eventually placed. When the signal is given, the first student starts to run around the perimeter designated by the cones. Each subsequent student starts to run around the cones when the student in front of them has turned the first corner (past the cone). Group 2 continues to run around the perimeter until all the balls have been placed in the last hoop by group 1. Groups change roles. Group 2 scores a run each time the starting point is past.",2 groups participate in the group 1 activity simultaneously and delete the group 2 activity.
"Mirror, Mirror",Pairs,"1 basketball, playground ball or netball per student",Hard surface open space,"Students find a free space in the activity area. On a signal, 1 student acts as a leader and moves around the area bouncing a ball. They are followed closely by their partner by changing direction or speed regularly. The activity continues until the teacher's signal indicates the activity has ended or that students should reverse their roles. Repeat the activity several times. Students score a point if they are within 2-3 metres of the leader when a signal to stop is given. ",
"Go Left, Go Right",Whole class,"1 basketball, playground ball or netball per student",Hard surface open space,"The teacher stands in front of the students who are spread throughout the area. The students are asked to imitate the teacher's actions. The teacher bounces the ball and performs various actions such as moving to the left, the right, forwards or any direction by side-stepping, hopping, sliding, skipping or jumping. Once students understand the activity, a student can lead the group.",". Students use their non-preferred hand to bounce the ball.
. On a signal during the activity, students use their non-preferred hand to bounce the ball."
Corner Spry Relay,Groups of 4-8,"1 playground ball, netball or basketball per group",Hard surface open space,"Groups line up facing a leader who stands 10-15 metres in front. A student at one end of the line has a ball. On a signal, the student with the ball moves while bouncing it to give it to the leader. They then exchange places. The former leader then bounces the ball back to the next student in the line. The ball is moved in this sequence until each student has completed a turn. Repeat the activity several times. Groups score a point for completing the relay within a set time. (eg 1, 1.5, 2 minutes).",". Students use their non-preferred hand to bounce the ball.
. On a signal during the activity, students use their non-preferred hand to bounce the ball."
Number Bounce,Whole class,"1 basketball, playground ball or netball per student",Hard surface open space,"Students disperse throughout the activity area. Students walk around bouncing the ball. The teacher gives a signal, then calls out a number. Students quickly form groups of the number called out. Repeat several times.",". A student calls out a number
. Students use their non-preferred hand to bounce the ball.
. All or some students wear coloured bibs or bands. Colours have different number values (eg yellow = 1, blue = 2, red = 3). A student calls out a number. Students use bib colours to calculcate a group 'size' equal to the called number (eg 2 yellow students, 3 blue students and 1 red student = 11)"
Bounce Away,Pairs,"1 basketball, playground ball or netball per student",Hard surface open space,"Students face each other and, while bouncing a ball, attempt to knock their partner's ball away. Repeat the activity several times. Rotate pairs regularly to encourage interaction. Students score 1 point each time they knock their partner's ball away.",". Students use their non-preferred hand to bounce the ball.
. Students aim to accumulate points to a set value over several tries.
"
Hoop Bounce,Individuals,"1 basketball, playground ball or netball and 1 hoop (or chalk circle) per student",Hard surface open space,"Students place their hoops in the activity area. They explore various ways they can bounce a ball in the hoop. Examples include bouncing while kneeling, standing on one foot, hopping on the spot, turning, alternating hands, crouching, on tip-toes, standing astride the hoop, with one or both eyes closed. Challenge students to find other alternatives. Ask individual students to demonstrate to others.",
Leader Bounce,Groups of 3-4,"1 basketball, playground ball or netball and 1 hoop per student",Hard surface open space,The hoops are scattered randomly in the activity area. 1 student tells the rest of their group how many ball bounces they should do in each hoop (numbers to be between 0-10). Rotate so that each student has a turn as the caller. The bouncers must not stand in the hoop.,"The caller could suggest:
Left hand
Right hand
Right hand very low (or sitting)
Left hand very high (or tip-toes)
Use hoops with number written inside them with chalk."
Cane Bounces,Pairs,1 ball and 1 cane per pair,Hard surface open space,"Student bounces the ball under a cane held at waist height by the partner.
Student bounces the ball over a cane held by the partner to the side and in front of the student.
Student bounces the ball to gain rhythm then closes their eyes and counts how many more bouncers they can achieve before losing control.
After a set time students swap roles.",
Make it Bounce,Individuals,1 slightly deflated ball or balloon per student and carpet gym mats,Hard surface open space,Students bounce deflated balls or balloons on a carpet or gym mat. This requires move force than usual and will need a strong push of the ball to create a bounce. ,Students count how many successive bounces can be achieved
Waist Relay,Groups of 5,1 ball and 4 hoops per group,Hard surface open space,"4 students stand in a line, side on, holding a hoop out in front of them at waist height. The other student bounces a ball 5 times through the first hoop pushing it to the floor with their fingers only, then bounces the ball 5 times under the next hoop allowing it to bounce up to hip height, then repeats the bounces with their arm over the next hoop and under the next. Over at the end, the student passes the ball to the front of the line whilst the hoops are passed 1 student down so that the end student holds a hoop. The next person in line has a turn.",. Use this activity as a relay
Bouncing Relay,Groups of 4-8,"1 playground ball, netball or basketball per group",Hard surface open space,"Groups line up facing a leader who stands 5-7 metres in front. A student at one end of the line has a ball. On a signal, the student with the ball bounces it 5 times, then passes (eg throws, rolls) the ball to the leader who bounces it 5 times, and then passes it to the next student in the lines. The students bounce and move the ball towards the end of the line in this manner. When the ball reaches the last student in line, that student bounces the ball 5 times and then takes the place of the leader who moves into the line.",
